"VMHost","Name","IP","SubnetMask","PortGroupName","vMotionEnabled"
"axesxcmpt0102.active.tan","vmnic0","","",,
"axesxcmpt0102.active.tan","vmnic1","","",,
"axesxcmpt0102.active.tan","vmnic2","","",,
"axesxcmpt0102.active.tan","vmnic3","","",,
"axesxcmpt0102.active.tan","vmnic4","","",,
"axesxcmpt0102.active.tan","vmnic5","","",,
"axesxcmpt0102.active.tan","vmk0","10.107.120.143","255.255.255.0","Management Network","False"
"axesxcmpt0102.active.tan","vmk1","10.107.102.16","255.255.255.0","VMotion","True"
"axesxcmpt0103.active.tan","vmnic0","","",,
"axesxcmpt0103.active.tan","vmnic1","","",,
"axesxcmpt0103.active.tan","vmnic2","","",,
"axesxcmpt0103.active.tan","vmnic3","","",,
"axesxcmpt0103.active.tan","vmnic4","","",,
"axesxcmpt0103.active.tan","vmnic5","","",,
"axesxcmpt0103.active.tan","vmk0","10.107.120.144","255.255.255.0","Management Network","False"
"axesxcmpt0103.active.tan","vmk1","10.107.102.17","255.255.255.0","VMotion","True"
"axesxcmpt0101.active.tan","vmnic0","","",,
"axesxcmpt0101.active.tan","vmnic1","","",,
"axesxcmpt0101.active.tan","vmnic2","","",,
"axesxcmpt0101.active.tan","vmnic3","","",,
"axesxcmpt0101.active.tan","vmnic4","","",,
"axesxcmpt0101.active.tan","vmnic5","","",,
"axesxcmpt0101.active.tan","vmk0","10.107.120.142","255.255.255.0","Management Network","False"
"axesxcmpt0101.active.tan","vmk1","10.107.102.18","255.255.255.0","VMotion","True"
"axesxcmpt0105.active.tan","vmnic0","","",,
"axesxcmpt0105.active.tan","vmnic1","","",,
"axesxcmpt0105.active.tan","vmnic2","","",,
"axesxcmpt0105.active.tan","vmnic3","","",,
"axesxcmpt0105.active.tan","vmnic4","","",,
"axesxcmpt0105.active.tan","vmnic5","","",,
"axesxcmpt0105.active.tan","vmk0","10.107.120.146","255.255.255.0","Management Network","False"
"axesxcmpt0105.active.tan","vmk1","10.107.102.19","255.255.255.0","VMotion","True"
"axesxcmpt0104.active.tan","vmnic0","","",,
"axesxcmpt0104.active.tan","vmnic1","","",,
"axesxcmpt0104.active.tan","vmnic2","","",,
"axesxcmpt0104.active.tan","vmnic3","","",,
"axesxcmpt0104.active.tan","vmnic4","","",,
"axesxcmpt0104.active.tan","vmnic5","","",,
"axesxcmpt0104.active.tan","vmk0","10.107.120.145","255.255.255.0","Management Network","False"
"axesxcmpt0104.active.tan","vmk1","10.107.102.20","255.255.255.0","VMotion","True"
