#TYPE Selected.System.String
"DataStorename","HostName","Canonicalname","Multipathing"
"UCS_Storage_2","axesxcmpt0101.active.tan","naa.60060160eaf22e004463b5813f9be111","RoundRobin"
"Legacy_Storage02","axesxcmpt0101.active.tan","naa.6006016033f22e0030978e54d441e311","RoundRobin"
"Legacy_Storage02","axesxcmpt0101.active.tan","naa.6006016033f22e00c6906930d441e311","RoundRobin"
"UCS_Storage_1","axesxcmpt0101.active.tan","naa.60060160eaf22e00ddad1cdc3f9be111","RoundRobin"
"UCS_Storage_2","axesxcmpt0101.active.tan","naa.60060160eaf22e004063b5813f9be111","RoundRobin"
"Legacy_Storage02","axesxcmpt0101.active.tan","naa.6006016033f22e00e496eb5cd441e311","RoundRobin"
"UCS_Storage_1","axesxcmpt0101.active.tan","naa.60060160eaf22e00d3376fd53f9be111","RoundRobin"
"UCS_Storage_1","axesxcmpt0101.active.tan","naa.60060160eaf22e00daa039f13f9be111","RoundRobin"
"UCS_Storage_1","axesxcmpt0101.active.tan","naa.60060160eaf22e00cf376fd53f9be111","RoundRobin"
"UCS_Storage_4","axesxcmpt0101.active.tan","naa.60060160eaf22e00cb376fd53f9be111","RoundRobin"
"Legacy_Storage02","axesxcmpt0101.active.tan","naa.6006016033f22e00e4904654d341e311","RoundRobin"
"UCS_Storage_2","axesxcmpt0101.active.tan","naa.60060160eaf22e004563b5813f9be111","RoundRobin"
"Legacy_Storage01","axesxcmpt0101.active.tan","naa.6006016033f22e00b02085e1d341e311","RoundRobin"
"UCS_Storage_2","axesxcmpt0101.active.tan","naa.60060160eaf22e004163b5813f9be111","RoundRobin"
"UCS_Storage_3","axesxcmpt0101.active.tan","naa.6006016033f22e00ee55f0916ea5e211","RoundRobin"
"Legacy_Storage01","axesxcmpt0101.active.tan","naa.6006016033f22e0048b88f02d341e311","RoundRobin"
"Legacy_Storage01","axesxcmpt0101.active.tan","naa.6006016033f22e001cd8f395d341e311","RoundRobin"
"UCS_Storage_1","axesxcmpt0101.active.tan","naa.60060160eaf22e00d0376fd53f9be111","RoundRobin"
"Legacy_Storage02","axesxcmpt0101.active.tan","naa.6006016033f22e00207fc546d341e311","RoundRobin"
"Legacy_Storage02","axesxcmpt0101.active.tan","naa.6006016033f22e00cc7ef140d441e311","RoundRobin"
"Legacy_Storage01","axesxcmpt0101.active.tan","naa.6006016033f22e007a8068d9d341e311","RoundRobin"
"UCS_Storage_2","axesxcmpt0101.active.tan","naa.60060160eaf22e0042b25b883f9be111","RoundRobin"
"Legacy_Storage01","axesxcmpt0101.active.tan","naa.6006016033f22e00828099e7d241e311","RoundRobin"
